epi_date_V2,Cases,7-Day Average,Cumulative Cases,AsOf
5/10/2022,1,0,1,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/11/2022,2,0,3,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/12/2022,2,0,5,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/13/2022,0,0,5,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/14/2022,0,0,5,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/15/2022,1,0,6,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/16/2022,6,1.714285714,12,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/17/2022,3,2,15,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/18/2022,2,2,17,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/19/2022,3,2.142857143,20,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/20/2022,0,2.142857143,20,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/21/2022,1,2.285714286,21,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/22/2022,1,2.285714286,22,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/23/2022,3,1.857142857,25,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/24/2022,4,2,29,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/25/2022,4,2.285714286,33,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/26/2022,2,2.142857143,35,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/27/2022,5,2.857142857,40,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/28/2022,0,2.714285714,40,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/29/2022,6,3.428571429,46,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/30/2022,5,3.714285714,51,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
5/31/2022,6,4,57,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/1/2022,11,5,68,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/2/2022,12,6.428571429,80,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/3/2022,6,6.571428571,86,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/4/2022,4,7.142857143,90,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/5/2022,5,7,95,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/6/2022,22,9.428571429,117,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/7/2022,19,11.28571429,136,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/8/2022,12,11.42857143,148,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/9/2022,6,10.57142857,154,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/10/2022,22,12.85714286,176,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/11/2022,11,13.85714286,187,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/12/2022,26,16.85714286,213,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/13/2022,23,17,236,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/14/2022,26,18,262,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/15/2022,35,21.28571429,297,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/16/2022,25,24,322,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/17/2022,31,25.28571429,353,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/18/2022,24,27.14285714,377,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/19/2022,36,28.57142857,413,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/20/2022,38,30.71428571,451,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/21/2022,42,33,493,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/22/2022,62,36.85714286,555,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/23/2022,56,41.28571429,611,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/24/2022,48,43.71428571,659,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/25/2022,52,47.71428571,711,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/26/2022,63,51.57142857,774,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/27/2022,93,59.42857143,867,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/28/2022,87,65.85714286,954,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/29/2022,76,67.85714286,1030,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
6/30/2022,111,75.71428571,1141,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/1/2022,134,88,1275,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/2/2022,120,97.71428571,1395,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/3/2022,125,106.5714286,1520,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/4/2022,153,115.1428571,1673,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/5/2022,183,128.8571429,1856,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/6/2022,167,141.8571429,2023,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
